Chemical_index,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
1,Iron(II) tetrafluoroborate hexahydrate,0.0783116,0.0783116,7733.333333333332,0.0
2,Zinc tetrafluoroborate,0.0593676,0.0593676,8280.0,0.0
3,Yittrium(III) trifluoromethanesulfonate,0.0,0.0,0.0,0.0
4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.0,0.0,0.0,0.0
5,Silver tetrafluoroborate,0.0,0.0,0.0,0.0
6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0,0.0,0.0
7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0,0.0,0.0
8,"2,2'-(Ethane-1,2-diyl)dianiline",0.021654294,0.021654294,2266.666666666667,0.0
9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.024232335,0.024232335,908.3333333333333,2725.0
10,"2,2'-Oxydiethanamine",0.0,0.0,0.0,0.0
11,"4,4'-Methylenedianiline",0.034854108,0.034854108,3906.666666666667,0.0
12,"1,3-Benzenedimethanamine",0.018916791,0.018916791,3086.6666666666665,0.0
13,"Adamantane-1,3-diamine",0.0,0.0,0.0,0.0
14,"4,4'-(9H-Fluorene-9,9-diyl)dianiline",0.052684128,0.052684128,3359.9999999999995,0.0
15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0,0.0,0.0
16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0,0.0,0.0
17,"Naphthalene-1,8-diamine",0.02391984,0.02391984,3360.0000000000005,0.0
18,"4,4'-Oxydianiline",0.03273924,0.03273924,3633.333333333334,0.0
19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0,0.0,0.0
20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.0,0.0,0.0,0.0
21,6-Methylpyridine-2-carboxaldehyde,0.057493044,0.057493044,5273.333333333333,0.0
22,6-Phenylpicolinaldehyde,0.0,0.0,0.0,0.0
23,"[2,2'-Bipyridine]-6-carbaldehyde",0.0,0.0,0.0,0.0
24,2-Quinolinecarboxaldehyde,0.0,0.0,0.0,0.0
25,5-Methylpicolinaldehyde,0.054513,0.054513,5000.0,0.0
26,8-methoxyquinoline-2-carbaldehyde,0.0,0.0,0.0,0.0
27,"[1,8]Naphthyridine-2-carbaldehyde",0.0,0.0,0.0,0.0
28,4-Formyl-2-methylthiazole,0.0,0.0,0.0,0.0
29,6-Methoxypyridine-2-carbaldehyde,0.061713,0.061713,5000.000000000001,0.0
30,1-Methyl-2-imidazolecarboxaldehyde,0.03600597,0.03600597,3633.333333333333,0.0
31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.0,0.0,0.0,0.0
32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.0,0.0,0.0,0.0
