INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,1batch1,1batch1,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,48,48,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,49,49,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,50,50,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,51,51,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,52,52,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,53,53,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,54,54,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,55,55,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,56,56,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,57,57,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,58,58,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,59,59,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,60,60,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,61,61,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,62,62,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,63,63,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,64,64,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,65,65,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,66,66,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,67,67,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,68,68,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,69,69,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,70,70,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,71,71,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,72,72,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,73,73,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,74,74,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,75,75,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,76,76,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,77,77,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,78,78,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,79,79,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,80,80,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,81,81,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,82,82,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,83,83,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,84,84,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,85,85,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,86,86,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,87,87,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,88,88,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,89,89,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,90,90,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,91,91,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,92,92,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,93,93,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,94,94,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
