Chemical_index,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN_initial,CCl2H2_initial,CH3CN_final
1,Iron(II) tetrafluoroborate hexahydrate,0.00357803,0.0042,353.3333333333333,0.0,2757.3169407001437
2,Zinc tetrafluoroborate,0.0025334,0.0047,353.3333333333333,0.0,4562.984658298467
3,Yittrium(III) trifluoromethanesulfonate,0.005682766,0.006,353.3333333333333,0.0,2444.599926631973
4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.003334336,0.004,353.3333333333333,0.0,2825.71041030858
5,Silver tetrafluoroborate,0.002063502,0.0034,353.3333333333333,0.0,4013.030256331228
6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0,0.0,0.0,0.0
7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0,0.0,0.0,0.0
8,"2,2'-(Ethane-1,2-diyl)dianiline",0.003375522,0.0039,353.3333333333333,0.0,2708.4150663143305
9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.002356539,0.0053,88.33333333333333,265.0,5606.678361783956
10,"2,2'-Oxydiethanamine",0.001655985,0.0029,353.3333333333333,0.0,4287.409185469675
11,"4,4'-Methylenedianiline",0.003152334,0.0038,353.3333333333333,0.0,2841.125121893809
12,"1,3-Benzenedimethanamine",0.002165421,0.0039,353.3333333333333,0.0,4419.410627309886
13,"Adamantane-1,3-diamine",0.002643693,0.0045,0.0,353.3333333333333,4157.402217277119
14,"4,4'-(9H-Fluorene-9,9-diyl)dianiline",0.005540196,0.0057,353.3333333333333,0.0,2373.104503883978
15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0,0.0,0.0,0.0
16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0,0.0,0.0,0.0
17,"Naphthalene-1,8-diamine",0.00251538,0.0032,353.3333333333333,0.0,3017.9266750948177
18,"4,4'-Oxydianiline",0.003183816,0.0049,353.3333333333333,0.0,3725.105872952457
19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0,0.0,0.0,0.0
20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.004521165,0.0062,0.0,353.3333333333333,3280.685774573589
21,6-Methylpyridine-2-carboxaldehyde,0.003852252,0.004,353.3333333333333,0.0,2398.3038908150347
22,6-Phenylpicolinaldehyde,0.005826078,0.0073,353.3333333333333,0.0,2967.082218947292
23,"[2,2'-Bipyridine]-6-carbaldehyde",0.005857242,0.0061,353.3333333333333,0.0,2406.4980002533616
24,2-Quinolinecarboxaldehyde,0.004998006,0.0068,0.0,353.3333333333333,3252.1045152806946
25,5-Methylpicolinaldehyde,0.003852252,0.004,353.3333333333333,0.0,2398.3038908150347
26,8-methoxyquinoline-2-carbaldehyde,0.005952642,0.0076,353.3333333333333,0.0,3030.0382855209505
27,"[1,8]Naphthyridine-2-carbaldehyde",0.005029488,0.0068,235.55555555555554,117.77777777777777,3229.536334513573
28,4-Formyl-2-methylthiazole,0.004043688,0.0046,353.3333333333333,0.0,2661.2414805494386
29,6-Methoxypyridine-2-carbaldehyde,0.004361052,0.0059,353.3333333333333,0.0,3231.8108016139226
30,1-Methyl-2-imidazolecarboxaldehyde,0.003501498,0.005,353.3333333333333,0.0,3430.7613598522685
31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.005093629,0.0054,353.3333333333333,0.0,2456.058776645003
32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.004043688,0.005,353.3333333333333,0.0,2923.3784208870716
