,chemicalIdx,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
0,1,Iron(II) tetrafluoroborate hexahydrate,0.0229533999999999,0.0229533999999999,2266.666666666657,0.0
1,2,Zinc tetrafluoroborate,0.0162519999999999,0.0162519999999999,2266.6666666666524,0.0
2,3,Yittrium(III) trifluoromethanesulfonate,0.0540398879999999,0.0540398879999999,3359.9999999999936,0.0
3,4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.0,0.0,0.0,0.0
4,5,Silver tetrafluoroborate,0.064318968,0.064318968,11013.333333333336,0.0
5,6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0,0.0,0.0
6,7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0,0.0,0.0
7,8,"2,2'-(Ethane-1,2-diyl)dianiline",0.0347105594999999,0.0347105594999999,3633.333333333323,0.0
8,9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.020586369,0.020586369,771.6666666666666,2315.0
9,10,"2,2'-Oxydiethanamine",0.0,0.0,0.0,0.0
10,11,"4,4'-Methylenedianiline",0.0324155099999999,0.0324155099999999,3633.333333333322,0.0
11,12,",3-Benzenedimethanamine",0.022267065,0.022267065,3633.333333333333,0.0
12,13,"Adamantane-1,3-diamine",0.0,0.0,0.0,0.0
13,14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.048398316,0.048398316,3086.6666666666665,0.0
14,15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0,0.0,0.0
15,16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0,0.0,0.0
16,17,"Naphthalene-1,8-diamine",0.0219739799999999,0.0219739799999999,3086.6666666666524,0.0
17,18,"4,4'-Oxydianiline",0.0278133359999999,0.0278133359999999,3086.6666666666556,0.0
18,19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0,0.0,0.0
19,20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.0,0.0,0.0,0.0
20,21,6-Methylpyridine-2-carboxaldehyde,0.036632736,0.036632736,3359.9999999999995,0.0
21,22,6-Phenylpicolinaldehyde,0.0,0.0,0.0,0.0
22,23,"[2,2'-Bipyridine]-6-carbaldehyde",0.0,0.0,0.0,0.0
23,24,2-Quinolinecarboxaldehyde,0.0243299159999999,0.0243299159999999,0.0,1719.999999999993
24,25,5-Methylpicolinaldehyde,0.03961278,0.03961278,3633.333333333333,0.0
25,26,8-methoxyquinoline-2-carbaldehyde,0.0,0.0,0.0,0.0
26,27,"[1,8]Naphthyridine-2-carbaldehyde",0.0,0.0,0.0,0.0
27,28,4-Formyl-2-methylthiazole,0.07286268,0.07286268,6366.666666666667,0.0
28,29,6-Methoxypyridine-2-carbaldehyde,0.041471136,0.041471136,3360.0000000000005,0.0
29,30,1-Methyl-2-imidazolecarboxaldehyde,0.033297264,0.033297264,3359.9999999999995,0.0
30,31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.0,0.0,0.0,0.0
31,32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.0,0.0,0.0,0.0
