INDEX,fileName,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,reagent1,reagent1,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,reagent2,reagent2,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,reagent3,reagent3,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,reagent4,reagent4,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,reagent5,reagent5,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,reagent6,reagent6,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,reagent7,reagent7,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,reagent8,reagent8,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,reagent9,reagent9,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,reagent10,reagent10,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,reagent11,reagent11,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,reagent12,reagent12,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,reagent13,reagent13,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,reagent14,reagent14,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,reagent15,reagent15,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,reagent16,reagent16,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,reagent17,reagent17,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,reagent18,reagent18,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,reagent19,reagent19,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,reagent20,reagent20,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,reagent21,reagent21,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,reagent22,reagent22,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,reagent23,reagent23,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,reagent24,reagent24,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,reagent25,reagent25,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,reagent26,reagent26,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,reagent27,reagent27,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,reagent28,reagent28,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,reagent29,reagent29,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,reagent30,reagent30,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,reagent31,reagent31,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,reagent32,reagent32,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
