Sample	Vial	ID	File	Date	Time	Description	Target	Found	Trace	Time	Peak	Area %Total	Area Abs	BPM	
1 	1:1		20210803_001	03-Aug-2021	12:35:03		194.00	YES	MS ES+ :TIC	0.69	1	11.30	103773936	152, 179
							194.00	YES	MS ES- :TIC	0.70	1	1.30	502895	152, 179
							194.00	YES	DAD: TIC	0.69	1	5.95	108000	152, 179
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.69	1	5.66	1862	152, 179
							194.00	YES	DAD: TIC	0.83	2	1.10	20049	160, 208
							194.00	YES	DAD: TIC	0.99	3	1.83	33295	195, 191
							194.00	YES	MS ES+ :TIC	1.01	4	7.55	69347352	195, 179
							194.00	YES	DAD: TIC	1.00	4	5.69	103248	195, 179
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.00	4	2.33	767	195, 179
							194.00	YES	MS ES- :TIC	1.38	5	2.03	787161	311, 309
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.37	5	0.34	113	311, 309
							194.00	YES	MS ES+ :TIC	1.43	6	7.64	70120232	311, 309
							194.00	YES	MS ES- :TIC	1.43	6	2.18	844508	311, 309
							194.00	YES	DAD: TIC	1.42	6	3.82	69276	311, 309
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.42	6	2.81	922	311, 309
							194.00	YES	MS ES+ :TIC	1.59	7	9.84	90377592	455
							194.00	YES	MS ES+ :TIC	1.84	8	55.84	512837088	331, 441
							194.00	YES	MS ES- :TIC	1.84	8	7.17	2774578	331, 441
							194.00	YES	DAD: TIC	1.84	8	81.61	1481707	331, 441
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.84	8	88.64	29146	331, 441
							194.00	YES	MS ES+ :TIC	1.96	9	7.83	71930640	242
							194.00	YES	MS ES- :TIC	2.15	11	15.53	6012531	304, 311
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	2.14	11	0.21	70	304, 311
							194.00	YES	MS ES+ :TIC	0.69	1	11.30	103773936	152, 179
							194.00	YES	MS ES- :TIC	0.70	1	1.30	502895	152, 179
							194.00	YES	DAD: TIC	0.69	1	5.95	108000	152, 179
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.69	1	5.66	1862	152, 179
							194.00	YES	DAD: TIC	0.83	2	1.10	20049	160, 208
							194.00	YES	DAD: TIC	0.99	3	1.83	33295	195, 191
							194.00	YES	MS ES+ :TIC	1.01	4	7.55	69347352	195, 179
							194.00	YES	DAD: TIC	1.00	4	5.69	103248	195, 179
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.00	4	2.33	767	195, 179
							194.00	YES	MS ES- :TIC	1.38	5	2.03	787161	311, 309
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.37	5	0.34	113	311, 309
							194.00	YES	MS ES+ :TIC	1.43	6	7.64	70120232	311, 309
							194.00	YES	MS ES- :TIC	1.43	6	2.18	844508	311, 309
							194.00	YES	DAD: TIC	1.42	6	3.82	69276	311, 309
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.42	6	2.81	922	311, 309
							194.00	YES	MS ES+ :TIC	1.84	8	55.84	512837088	331, 441
							194.00	YES	MS ES- :TIC	1.84	8	7.17	2774578	331, 441
							194.00	YES	DAD: TIC	1.84	8	81.61	1481707	331, 441
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.84	8	88.64	29146	331, 441
							194.00	YES	MS ES- :TIC	2.03	10	71.79	27798344	265
							194.00	YES	MS ES- :TIC	2.15	11	15.53	6012531	304, 311
							194.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	2.14	11	0.21	70	304, 311
								
2 	1:1		20210803_002	03-Aug-2021	12:38:52		151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.54	1	0.12	41	213, 207
							151.00	YES	MS ES+ :TIC	0.65	2	15.39	114914832	152, 312
							151.00	YES	DAD: TIC	0.64	2	5.77	107012	152, 312
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.64	2	5.67	1906	152, 312
							151.00	YES	DAD: TIC	0.84	3	1.36	25163	159, 236
							151.00	YES	DAD: TIC	0.97	4	1.61	29777	195, 191
							151.00	YES	MS ES+ :TIC	0.99	5	9.86	73628640	195, 163
							151.00	YES	DAD: TIC	0.99	5	5.73	106338	195, 163
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	5	2.33	784	195, 163
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	6	0.33	110	311, 309
							151.00	YES	MS ES+ :TIC	1.42	7	10.95	81770840	311, 309
							151.00	YES	MS ES- :TIC	1.42	7	4.69	803738	311, 309
							151.00	YES	DAD: TIC	1.41	7	3.80	70549	311, 309
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	7	2.80	941	311, 309
							151.00	YES	MS ES+ :TIC	1.58	8	12.53	93514688	455
							151.00	YES	MS ES+ :TIC	1.83	9	51.26	382689728	331, 265
							151.00	YES	MS ES- :TIC	1.84	9	17.81	3050466	331, 265
							151.00	YES	DAD: TIC	1.83	9	81.73	1515552	331, 265
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	9	88.76	29855	331, 265
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.54	1	0.12	41	213, 207
							151.00	YES	MS ES+ :TIC	0.65	2	15.39	114914832	152, 312
							151.00	YES	DAD: TIC	0.64	2	5.77	107012	152, 312
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.64	2	5.67	1906	152, 312
							151.00	YES	DAD: TIC	0.84	3	1.36	25163	159, 236
							151.00	YES	DAD: TIC	0.97	4	1.61	29777	195, 191
							151.00	YES	MS ES+ :TIC	0.99	5	9.86	73628640	195, 163
							151.00	YES	DAD: TIC	0.99	5	5.73	106338	195, 163
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	5	2.33	784	195, 163
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	6	0.33	110	311, 309
							151.00	YES	MS ES+ :TIC	1.42	7	10.95	81770840	311, 309
							151.00	YES	MS ES- :TIC	1.42	7	4.69	803738	311, 309
							151.00	YES	DAD: TIC	1.41	7	3.80	70549	311, 309
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	7	2.80	941	311, 309
							151.00	YES	MS ES+ :TIC	1.83	9	51.26	382689728	331, 265
							151.00	YES	MS ES- :TIC	1.84	9	17.81	3050466	331, 265
							151.00	YES	DAD: TIC	1.83	9	81.73	1515552	331, 265
							151.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	9	88.76	29855	331, 265
							151.00	YES	MS ES- :TIC	1.98	10	0.17	28661	265
							151.00	YES	MS ES- :TIC	2.04	11	65.36	11195826	265
							151.00	YES	MS ES- :TIC	2.16	12	11.98	2051367	311
								
3 	1:1		20210803_003	03-Aug-2021	12:42:40		310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.53	1	0.12	41	213, 191
							310.00	YES	MS ES+ :TIC	0.65	2	13.30	112762224	152, 179
							310.00	YES	DAD: TIC	0.64	2	5.79	107236	152, 179
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.64	2	5.68	1909	152, 179
							310.00	YES	DAD: TIC	0.84	3	1.33	24559	159, 181
							310.00	YES	DAD: TIC	0.97	4	1.54	28552	195, 179
							310.00	YES	MS ES+ :TIC	0.99	5	9.05	76727776	195, 179
							310.00	YES	DAD: TIC	0.99	5	5.73	106251	195, 179
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	5	2.33	785	195, 179
							310.00	YES	MS ES- :TIC	1.37	7	4.45	796769	311, 309
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	7	0.33	110	311, 309
							310.00	YES	MS ES+ :TIC	1.42	8	12.48	105855144	311, 309
							310.00	YES	MS ES- :TIC	1.42	8	5.63	1008081	311, 309
							310.00	YES	DAD: TIC	1.41	8	3.81	70668	311, 309
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	8	2.80	942	311, 309
							310.00	YES	MS ES+ :TIC	1.58	9	12.48	105798984	455
							310.00	YES	MS ES+ :TIC	1.70	10	3.21	27206726	228
							310.00	YES	MS ES+ :TIC	1.83	11	49.48	419564032	331, 265
							310.00	YES	MS ES- :TIC	1.84	11	17.17	3072855	331, 265
							310.00	YES	DAD: TIC	1.83	11	81.80	1515533	331, 265
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	11	88.74	29840	331, 265
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.53	1	0.12	41	213, 191
							310.00	YES	MS ES+ :TIC	0.65	2	13.30	112762224	152, 179
							310.00	YES	DAD: TIC	0.64	2	5.79	107236	152, 179
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.64	2	5.68	1909	152, 179
							310.00	YES	DAD: TIC	0.84	3	1.33	24559	159, 181
							310.00	YES	DAD: TIC	0.97	4	1.54	28552	195, 179
							310.00	YES	MS ES+ :TIC	0.99	5	9.05	76727776	195, 179
							310.00	YES	DAD: TIC	0.99	5	5.73	106251	195, 179
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	5	2.33	785	195, 179
							310.00	YES	MS ES- :TIC	1.20	6	1.71	306746	169
							310.00	YES	MS ES- :TIC	1.37	7	4.45	796769	311, 309
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	7	0.33	110	311, 309
							310.00	YES	MS ES+ :TIC	1.42	8	12.48	105855144	311, 309
							310.00	YES	MS ES- :TIC	1.42	8	5.63	1008081	311, 309
							310.00	YES	DAD: TIC	1.41	8	3.81	70668	311, 309
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	8	2.80	942	311, 309
							310.00	YES	MS ES+ :TIC	1.83	11	49.48	419564032	331, 265
							310.00	YES	MS ES- :TIC	1.84	11	17.17	3072855	331, 265
							310.00	YES	DAD: TIC	1.83	11	81.80	1515533	331, 265
							310.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	11	88.74	29840	331, 265
							310.00	YES	MS ES- :TIC	2.05	12	61.48	11000812	265
							310.00	YES	MS ES- :TIC	2.16	13	9.55	1709437	311
								
4 	1:1		20210803_004	03-Aug-2021	12:46:28		454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.54	1	0.12	41	213, 179
							454.00	YES	MS ES+ :TIC	0.65	3	16.22	117603800	152, 312
							454.00	YES	DAD: TIC	0.64	3	5.80	107272	152, 312
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.64	3	5.67	1907	152, 312
							454.00	YES	DAD: TIC	0.83	4	1.22	22595	159, 208
							454.00	YES	DAD: TIC	0.97	5	1.54	28396	195, 207
							454.00	YES	MS ES+ :TIC	0.99	6	10.67	77387408	195, 179
							454.00	YES	DAD: TIC	0.99	6	5.74	106190	195, 179
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	6	2.33	784	195, 179
							454.00	YES	MS ES+ :TIC	1.26	7	2.38	17235818	239
							454.00	YES	MS ES- :TIC	1.37	8	4.15	749678	311, 309
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	8	0.33	111	311, 309
							454.00	YES	MS ES+ :TIC	1.42	9	11.34	82216208	311, 309
							454.00	YES	MS ES- :TIC	1.42	9	5.67	1025864	311, 309
							454.00	YES	DAD: TIC	1.41	9	3.82	70580	311, 309
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	9	2.80	941	311, 309
							454.00	YES	MS ES+ :TIC	1.58	10	12.46	90357472	455
							454.00	YES	MS ES+ :TIC	1.83	11	46.94	340420576	331, 265
							454.00	YES	MS ES- :TIC	1.84	11	15.42	2788047	331, 265
							454.00	YES	DAD: TIC	1.83	11	81.88	1513523	331, 265
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	11	88.74	29824	331, 265
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.54	1	0.12	41	213, 179
							454.00	YES	MS ES- :TIC	0.58	2	0.11	19945	179
							454.00	YES	MS ES+ :TIC	0.65	3	16.22	117603800	152, 312
							454.00	YES	DAD: TIC	0.64	3	5.80	107272	152, 312
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.64	3	5.67	1907	152, 312
							454.00	YES	DAD: TIC	0.83	4	1.22	22595	159, 208
							454.00	YES	DAD: TIC	0.97	5	1.54	28396	195, 207
							454.00	YES	MS ES+ :TIC	0.99	6	10.67	77387408	195, 179
							454.00	YES	DAD: TIC	0.99	6	5.74	106190	195, 179
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.99	6	2.33	784	195, 179
							454.00	YES	MS ES- :TIC	1.37	8	4.15	749678	311, 309
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.36	8	0.33	111	311, 309
							454.00	YES	MS ES+ :TIC	1.42	9	11.34	82216208	311, 309
							454.00	YES	MS ES- :TIC	1.42	9	5.67	1025864	311, 309
							454.00	YES	DAD: TIC	1.41	9	3.82	70580	311, 309
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.41	9	2.80	941	311, 309
							454.00	YES	MS ES+ :TIC	1.83	11	46.94	340420576	331, 265
							454.00	YES	MS ES- :TIC	1.84	11	15.42	2788047	331, 265
							454.00	YES	DAD: TIC	1.83	11	81.88	1513523	331, 265
							454.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	1.83	11	88.74	29824	331, 265
							454.00	YES	MS ES- :TIC	2.05	12	64.55	11670273	265
							454.00	YES	MS ES- :TIC	2.16	13	10.10	1825757	311
								
5 	1:1		20210803_005	03-Aug-2021	12:50:08		330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.53	1	0.12	41	213, 207
							330.00	YES	MS ES+ :TIC	0.64	2	16.62	118787688	152, 284
							330.00	YES	DAD: TIC	0.63	2	5.80	107347	152, 284
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.63	2	5.67	1907	152, 284
							330.00	YES	DAD: TIC	0.83	3	1.28	23653	157, 179
							330.00	YES	DAD: TIC	0.97	4	1.54	28501	195, 179
							330.00	YES	MS ES+ :TIC	0.99	5	10.78	77039920	195, 179
							330.00	YES	MS ES- :TIC	0.99	5	1.46	269039	195, 179
							330.00	YES	DAD: TIC	0.99	5	5.74	106242	195, 179
							330.00	YES	 (2) PDA Ch1 254nm@4.8nm-MBF	0.98	5	2.33	784	195, 179
