INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,23batch7,23batch7,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,330,330,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,331,331,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,332,332,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,333,333,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,334,334,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,335,335,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,336,336,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,337,337,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,338,338,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,339,339,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,340,340,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,341,341,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,342,342,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,343,343,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,344,344,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,345,345,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,346,346,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,347,347,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,348,348,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,349,349,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,350,350,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,351,351,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,352,352,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,353,353,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,354,354,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,355,355,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,356,356,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,357,357,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,358,358,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,359,359,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,360,360,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,361,361,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,362,362,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,363,363,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,364,364,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,365,365,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,366,366,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,367,367,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,368,368,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,369,369,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,370,370,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,371,371,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,372,372,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,373,373,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,374,374,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,375,375,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,376,376,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
