,chemicalIdx,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
0,1,Iron(II) tetrafluoroborate hexahydrate,0.0229533999999999,0.0256,2528.0205401668886,0.0
1,2,Zinc tetrafluoroborate,0.0123323999999999,0.0158,2203.6262203626225,0.0
2,3,Yittrium(III) trifluoromethanesulfonate,0.032059378,0.0335,2082.9058713075055,0.0
3,4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.036866432,0.0381,4037.3855544252297,0.0
4,5,Silver tetrafluoroborate,0.089859672,0.0918,15718.90892279242,0.0
5,6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0,0.0,0.0
6,7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0,0.0,0.0
7,8,"2,2'-(Ethane-1,2-diyl)dianiline",0.016431788,0.0164,1716.672606981938,0.0
8,9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.016940403,0.0209,783.4229209305115,2350.2687627915348
9,10,"2,2'-Oxydiethanamine",0.0362442,0.0368,7851.92297434256,0.0
10,11,"4,4'-Methylenedianiline",0.0250997159999999,0.0269,3015.1204366880756,0.0
11,12,",3-Benzenedimethanamine",0.0138913799999999,0.0171,2790.21954622219,0.0
12,13,"Adamantane-1,3-diamine",0.0,0.0,0.0,0.0
13,14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.039826692,0.0409,2608.4516384137555,0.0
14,15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0,0.0,0.0
15,16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0,0.0,0.0
16,17,"Naphthalene-1,8-diamine",0.01808226,0.02,2809.3833403567924,0.0
17,18,"4,4'-Oxydianiline",0.022887432,0.0255,2829.9374084432015,0.0
18,19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0,0.0,0.0
19,20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.0,0.0,0.0,0.0
20,21,6-Methylpyridine-2-carboxaldehyde,0.0455728679999999,0.0473,4338.414690073927,0.0
21,22,6-Phenylpicolinaldehyde,0.0,0.0,0.0,0.0
22,23,"[2,2'-Bipyridine]-6-carbaldehyde",0.0,0.0,0.0,0.0
23,24,2-Quinolinecarboxaldehyde,0.0436618259999999,0.0443,0.0,3131.782288109832
24,25,5-Methylpicolinaldehyde,0.0455728679999999,0.0456,4182.48858070552,0.0
25,26,8-methoxyquinoline-2-carbaldehyde,0.0,0.0,0.0,0.0
26,27,"[1,8]Naphthyridine-2-carbaldehyde",0.0,0.0,0.0,0.0
27,28,4-Formyl-2-methylthiazole,0.0321969119999999,0.0329,2874.768445702702,0.0
28,29,6-Methoxypyridine-2-carbaldehyde,0.0482184239999999,0.0494,4002.3981981106094,0.0
29,30,1-Methyl-2-imidazolecarboxaldehyde,0.03600597,0.0392,3955.640319276683,0.0
30,31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.0,0.0,0.0,0.0
31,32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.0,0.0,0.0,0.0
