Reaction,Iron(II) tetrafluoroborate hexahydrate,Zinc tetrafluoroborate,Yittrium(III) trifluoromethanesulfonate,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,Silver tetrafluoroborate,"1,10-Phenanthroline-2,9-dicarbaldehyde","Pyridine-2,6-dicarbaldehyde","2,2'-(Ethane-1,2-diyl)dianiline","2,2'-(Ethane-1,2-diylbis(oxy))diethanamine","2,2'-Oxydiethanamine","1,4-Phenylenedimethanamine","1,3-Benzenedimethanamine","Adamantane-1,3-diamine","4,4'-(9H-Fluorene-9,9-diyl)dianiline","(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine","[2,2'-Bipyridine]-4,4'-diamine","Naphthalene-1,8-diamine","4,4'-Oxydianiline","6-Methyl-1,3,5-triazine-2,4-diamine","(R)-(+)-1,1′-Binaphthyl-2,2′-diamine",6-Methylpyridine-2-carboxaldehyde,6-Phenylpicolinaldehyde,"[2,2'-Bipyridine]-6-carbaldehyde",2-Quinolinecarboxaldehyde,5-Methylpicolinaldehyde,8-methoxyquinoline-2-carbaldehyde,"[1,8]Naphthyridine-2-carbaldehyde",4-Formyl-2-methylthiazole,6-Methoxypyridine-2-carbaldehyde,1-Methyl-2-imidazolecarboxaldehyde,1-Methyl-1H-benzimidazole-2-carbaldehyde,"4-Methyl-1,3-thiazole-2-carbaldehyde",CH3CN
"[6-Methylpyridine-2-carboxaldehyde, Zinc tetrafluoroborate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,200.0,0.0,0.0,0.0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[6-Methylpyridine-2-carboxaldehyde, Zinc tetrafluoroborate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,200.0,0.0,0.0,0.0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[6-Methylpyridine-2-carboxaldehyde, Zinc tetrafluoroborate, 4,4'-Oxydianiline]",0.0,200.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[1,4-Phenylenedimethanamine, 6-Methylpyridine-2-carboxaldehyde, Zinc tetrafluoroborate]",0.0,200.0,0.0,0.0,0.0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[Iron(II) tetrafluoroborate hexahydrate, 6-Methylpyridine-2-carboxaldehyde, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",200.0,0.0,0.0,0.0,0.0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[Iron(II) tetrafluoroborate hexahydrate, 6-Methylpyridine-2-carboxaldehyde, 4,4'-Oxydianiline]",200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[Iron(II) tetrafluoroborate hexahydrate, 1,4-Phenylenedimethanamine, 6-Methylpyridine-2-carboxaldehyde]",200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,900.0
"[6-Methoxypyridine-2-carbaldehyde, Zinc tetrafluoroborate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,200.0,0.0,0.0,0.0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900.0
"[6-Methoxypyridine-2-carbaldehyde, Zinc tetrafluoroborate, 4,4'-Oxydianiline]",0.0,200.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900.0
"[6-Methoxypyridine-2-carbaldehyde, 1,4-Phenylenedimethanamine, Zinc tetrafluoroborate]",0.0,200.0,0.0,0.0,0.0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900.0
