Chemical_index,Chemical,Mass to measure (in grams),Actual mass measured
1,Iron(II) tetrafluoroborate hexahydrate,0.05772105,
2,Zinc tetrafluoroborate,0.046605,
3,Yittrium(III) trifluoromethanesulfonate,0.0,0.0
4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.0,0.0
5,Silver tetrafluoroborate,0.0,0.0
6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0
7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0
8,"2,2'-(Ethane-1,2-diyl)dianiline",0.018151393499999998,
9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.019341404999999996,
10,"2,2'-Oxydiethanamine",0.0,0.0
11,"4,4'-Methylenedianiline",0.027657269999999998,
12,"1,3-Benzenedimethanamine",0.015321375,
13,"Adamantane-1,3-diamine",0.0,0.0
14,"4,4'-(9H-Fluorene-9,9-diyl)dianiline",0.04233546,
15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0
16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0
17,"Naphthalene-1,8-diamine",0.019221299999999997,
18,"4,4'-Oxydianiline",0.026131319999999996,
19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0
20,"(R)-(+)-1,1′-Binaphthyl-2,2′-diamine",0.0,0.0
21,6-Methylpyridine-2-carboxaldehyde,0.046881179999999995,
22,6-Phenylpicolinaldehyde,0.0,0.0
23,"[2,2'-Bipyridine]-6-carbaldehyde",0.0,0.0
24,2-Quinolinecarboxaldehyde,0.0,0.0
25,5-Methylpicolinaldehyde,0.04033962,
26,8-methoxyquinoline-2-carbaldehyde,0.0,0.0
27,"[1,8]Naphthyridine-2-carbaldehyde",0.0,0.0
28,4-Formyl-2-methylthiazole,0.0,0.0
29,6-Methoxypyridine-2-carbaldehyde,0.048136139999999994,
30,1-Methyl-2-imidazolecarboxaldehyde,0.028738709999999994,
31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.0,0.0
32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.0,0.0
