INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,0_1,0_1,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,0_1,0_1,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,0_2,0_2,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,0_3,0_3,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,0_4,0_4,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,0_5,0_5,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,0_6,0_6,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,0_7,0_7,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,0_8,0_8,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,0_9,0_9,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,0_10,0_10,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,0_11,0_11,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,0_12,0_12,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,0_13,0_13,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,0_14,0_14,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,0_15,0_15,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,0_16,0_16,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,0_17,0_17,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,0_18,0_18,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,0_19,0_19,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,0_20,0_20,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,0_21,0_21,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,0_22,0_22,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,0_23,0_23,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,0_24,0_24,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,0_25,0_25,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,0_26,0_26,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,0_27,0_27,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,0_28,0_28,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,0_29,0_29,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,0_30,0_30,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,0_31,0_31,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,0_32,0_32,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,0_33,0_33,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,0_34,0_34,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,0_35,0_35,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,0_36,0_36,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,0_37,0_37,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,0_38,0_38,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,0_39,0_39,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,0_40,0_40,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,0_41,0_41,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,0_42,0_42,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,0_43,0_43,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,0_44,0_44,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,0_45,0_45,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,0_46,0_46,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,0_47,0_47,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
